
 num     #instances         #bytes  class name
----------------------------------------------
   1:       1543500       37044000  de.schmiereck.noiseComp.generator.SoundSample
   2:             9       14112216  [Lde.schmiereck.noiseComp.generator.SoundSample;
   3:         24775        3112128  <constMethodKlass>
   4:         24775        2987704  <methodKlass>
   5:          2076        2377296  <constantPoolKlass>
   6:          8456        2306744  [I
   7:          2076        1875744  <instanceKlassKlass>
   8:         37296        1733040  <symbolKlass>
   9:          1978        1651616  <constantPoolCacheKlass>
  10:          2602         695456  [B
  11:          8065         544512  [C
  12:          2287         420808  java.lang.Class
  13:          3400         328736  [[I
  14:          8073         322920  java.lang.String
  15:          3362         251336  [S
  16:          1542         125520  [Ljava.lang.Object;
  17:          2606         125088  java.util.HashMap$Entry
  18:           343         123848  <methodDataKlass>
  19:           182         104832  <objArrayKlassKlass>
  20:          1788          85824  java.util.Hashtable$Entry
  21:           288          69696  [Ljava.util.HashMap$Entry;
  22:           523          66944  java.lang.reflect.Field
  23:           338          51376  java.lang.reflect.Method
  24:           105          38128  [Ljava.util.Hashtable$Entry;
  25:            26          21632  com.sun.java.swing.plaf.windows.WindowsScrollBarUI$WindowsArrowButton
  26:           337          21568  java.lang.ref.Finalizer
  27:           284          18176  java.util.HashMap
  28:           440          17600  sun.font.TrueTypeFont$DirectoryEntry
  29:           388          15520  java.util.ArrayList
  30:           169          15120  [Ljava.lang.String;
  31:            19          15048  javax.swing.JButton
  32:           199          14328  sun.java2d.loops.Blit
  33:           163          11736  sun.java2d.loops.ScaledBlit
  34:            17          11288  javax.swing.JLabel
  35:           702          11232  java.lang.Object
  36:           454          10896  java.lang.Integer
  37:            90          10800  java.lang.reflect.Constructor
  38:           354          10672  [Ljava.lang.Class;
  39:           264          10560  java.util.Vector
  40:           184          10304  java.lang.ref.SoftReference
  41:           207           9936  java.beans.PropertyChangeSupport
  42:           411           9864  javax.swing.event.EventListenerList
  43:           405           9720  java.lang.Short
  44:           181           8688  java.lang.ref.WeakReference
  45:            90           8640  java.awt.Font
  46:            13           8424  javax.swing.JScrollPane$ScrollBar
  47:            38           8248  [J
  48:            12           7872  javax.swing.JViewport
  49:           245           7840  java.io.FileDescriptor
  50:             9           7560  javax.swing.JTextField
  51:           209           7400  [Ljava.beans.PropertyChangeListener;
  52:            15           7200  javax.swing.CellRendererPane
  53:           223           7136  java.io.FileInputStream
  54:           210           6720  java.awt.AWTEventMulticaster
  55:             2           6536  [Lsun.java2d.loops.GraphicsPrimitive;
  56:            40           6520  [[I
  57:             8           6464  javax.swing.JMenuItem
  58:            88           6336  sun.java2d.loops.MaskBlit
  59:            93           5952  java.util.Hashtable
  60:            82           5904  java.util.WeakHashMap$Entry
  61:           117           5616  java.lang.ref.PhantomReference
  62:             8           5568  javax.swing.JScrollPane
  63:           113           5424  java.util.concurrent.locks.ReentrantLock$NonfairSync
  64:           112           5376  java.util.concurrent.ConcurrentHashMap$Segment
  65:           216           5184  javax.swing.ArrayTable
  66:           209           5016  sun.awt.EventListenerAggregate
  67:             6           4800  javax.swing.plaf.basic.BasicSplitPaneDivider$1
  68:             6           4800  javax.swing.plaf.basic.BasicSplitPaneDivider$2
  69:            73           4672  javax.swing.DefaultButtonModel
  70:            32           4608  sun.awt.image.IntegerInterleavedRaster
  71:             8           4608  <typeArrayKlassKlass>
  72:           141           4512  javax.swing.ActionMap
  73:            21           4368  sun.font.TrueTypeFont
  74:            36           4320  java.awt.GridBagConstraints
